district	schoolName
338	2432,4653,4654,4656
339	4655,7533
340	141,1359,3557,3677,4282,4297,4672,4673,4674,6022,6038,6052,6578,7070,7096,7107,7924,8492,8763,8785,8897,9293,9504,9876
341	4466
342	2682,4709,4710,6247,7744
343	120,465
344	4731
345	300,457,2239,4734,4975,7092
346	2934,3626,4736,4737,4738,5189,8867
347	701,3747,4685,4743,4744,4745,9479,9772,9773,9862,10123
348	645,661,1984,8165,8454,9480
349	6514
350	583,702,1579,2631,3208,3362,3618,4071,4287,5191,6025,6506,6577,7647,7782,7932,8350,8571,8778,9183,9658,9693,9855
351	4746
352	4747
353	748,4753,4754
354	1662,2347,4770,7146,8197
355	64,1818,3467,4461,4697,5223,5837,6234,6782,7559,7560,8380,8452,9152,9781
356	4369,4788,4790,4791
357	4789
358	7420,7843
359	4795,4796
360	4811
361	4794,4835,5958
362	6813,9286
363	4840
364	6705
365	1216,1432,2642,4078,4851,5451,5452,7280
366	4865,4866,6938,6990
367	9272
368	500,2759,4280,4942,5032,5041,8443,9734,9787
369	4889,7121
370	680,681,723,724,1502,3177,4079,4712,4713,4714,4901,4902,4905,4915,4916,5137,5308,5309,5778,6293,6298,6548,7038,7482,7483,7821,8277,8279,8949
371	1227,3828,4946,5502,8641,8725
372	2783,4949,4950,9175,9176,9219
373	4961
374	4962,8067
375	1857
376	4968
377	1391,2096,2274,2481,2614,2871,2872,2873,3930,4452,4703,4983,4990,5475,5512,6824,7424,7608,7834,8951,9054,9080,9328,9977,10001,10116
378	161,952,4980,6268,8420,8597,8598,8997
379	1854,4984,4985,4986,6346,9086
380	2479
381	3020,4988,4989,4991,4992,5138,5251,6336,7715,7740,9184,10108
382	325,922,4999,6226,8296,9969
383	213,5000,6241,6314
384	349,2178,2404,2437,2622,2767,2924,3379,4267,4388,4508,4631,5004,5203,5223,5236,5237,5694,6125,6318,6415,7215,8416,8890,9893
385	2110,3791,6358
386	4882,5034
387	154,216,575,782,1237,1277,4296,5042,5249,5478,5696,7902,8842,9950,10182
388	5046
389	5049
390	2014,5057,5058
